Organization,Name,Street Address,City,State,Postal Code,lat,lon,Organization,Name,Street Address,lat,lon,distance (km)
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1802.8117700919329
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,1582.825062364552
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,1476.9630860615691
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,2780.9123286659137
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,476.92697097639103
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,414.44103347806333
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,304.80746424855005
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,235.54927725017743
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,299.6707493326107
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,338.1878116870844
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,1354.1675019749887
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,613.9117582126408
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,2818.322928822852
Strive Together,Achieve Brown County,,Green Bay,WI,,44.5283629,-88.1040752,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,643.8819829429636
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1012.0965627325653
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,377.6691528858452
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,660.1961797969024
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,2922.772230400669
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1949.1448025375798
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1699.968873268268
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,1261.8827383710445
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1349.1501016608765
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,1296.230510814493
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,1227.3145020940965
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,428.3873552100276
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1999.0706126223613
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,2833.8744131438134
Strive Together,Achieve Escambia,,Pensacola,FL,,30.4793799,-87.2040881,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,981.1597144601665
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1822.435119517356
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,1252.2038145572274
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,408.3364693720451
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,3490.1414247029657
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1666.8391379904997
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1530.814491278112
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,992.5867215478445
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1090.9624341240099
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,902.3973876273016
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,930.053824045302
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,527.3988022669347
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1791.3942473964278
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,3454.1423033498154
Strive Together,Alamance Achieves,,Burlington,NC,,36.0927,-79.4375913,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,1000.0094768714353
Strive Together,Aligned Impact Muscatine County,,Muscatine,IA,,41.4203142,-91.0470178,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,1383.9831381565657
